orig_file,indexnumber,int_name,int_filename,speaker,vowel,context,language
stimuli/Jeremy_ABX_ENG_clean.wav,106,ZAHZ,jeremy_eng_106,jeremy,AH,Z_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,107,ZAHS,jeremy_eng_107,jeremy,AH,Z_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,108,ZAHF,jeremy_eng_108,jeremy,AH,Z_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,109,ZAHSH,jeremy_eng_109,jeremy,AH,Z_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,110,ZAHV,jeremy_eng_110,jeremy,AH,Z_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,111,SAHV,jeremy_eng_111,jeremy,AH,S_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,112,SAHSH,jeremy_eng_112,jeremy,AH,S_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,113,SAHV,jeremy_eng_113,jeremy,AH,S_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,114,FAHF,jeremy_eng_114,jeremy,AH,F_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,115,FAHSH,jeremy_eng_115,jeremy,AH,F_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,116,SHAHZ,jeremy_eng_116,jeremy,AH,SH_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,117,SHAHS,jeremy_eng_117,jeremy,AH,SH_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,118,SHAHF,jeremy_eng_118,jeremy,AH,SH_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,119,SHAHV,jeremy_eng_119,jeremy,AH,SH_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,120,VAHZ,jeremy_eng_120,jeremy,AH,V_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,121,VAHS,jeremy_eng_121,jeremy,AH,V_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,122,VAHF,jeremy_eng_122,jeremy,AH,V_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,123,VAHSH,jeremy_eng_123,jeremy,AH,V_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,124,VAHV,jeremy_eng_124,jeremy,AH,V_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,125,ZAHZ,jeremy_eng_125,jeremy,AH,Z_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,126,ZAHS,jeremy_eng_126,jeremy,AH,Z_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,127,ZAHF,jeremy_eng_127,jeremy,AH,Z_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,128,ZAHSH,jeremy_eng_128,jeremy,AH,Z_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,129,ZAHV,jeremy_eng_129,jeremy,AH,Z_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,130,SAHZ,jeremy_eng_130,jeremy,AH,S_Z,eng
